Datetime,Pressure,Velocity,Motion,Dive
1050,1.97,-0.05,BOTT,20
1051,2.05,0.08,BOTT,20
1052,2.02,-0.03,BOTT,20
1053,0.85,-1.17,ASC,20
1059,-0.13,-0.163333333,SURF,21
1067,0.72,0.10625,DESC,21
1068,1.75,1.03,BOTT,21
1069,1.92,0.17,BOTT,21
1070,2.02,0.1,BOTT,21
1071,2.07,0.05,BOTT,21
1072,2.02,-0.05,BOTT,21
1073,1.95,-0.07,BOTT,21
1074,1.97,0.02,BOTT,21
1075,1.97,0,BOTT,21
1076,2.02,0.05,BOTT,21
1077,1.95,-0.07,BOTT,21
1078,2.05,0.1,BOTT,21
1079,2.02,-0.03,BOTT,21
1080,1.92,-0.1,BOTT,21
1081,1.95,0.03,BOTT,21
1082,2.05,0.1,BOTT,21
1083,1.95,-0.1,BOTT,21
1084,2.02,0.07,BOTT,21
1085,2.02,0,BOTT,21
1086,1.95,-0.07,BOTT,21
1087,2.02,0.07,BOTT,21
1088,2.02,0,BOTT,21
1089,2.02,0,BOTT,21
1090,2.02,0,BOTT,21
1091,1.92,-0.1,BOTT,21
1092,2.05,0.13,BOTT,21
1093,2.12,0.07,BOTT,21
1094,2.05,-0.07,BOTT,21
1095,2.02,-0.03,BOTT,21
1096,1.95,-0.07,BOTT,21
1097,2.02,0.07,BOTT,21
1098,1.95,-0.07,BOTT,21
1099,2.02,0.07,BOTT,21
1100,1.95,-0.07,BOTT,21
1101,1.97,0.02,BOTT,21
1102,0.77,-1.2,ASC,21
1109,-0.13,-0.128571429,SURF,22
1119,-0.15,-0.002,SURF,22
1121,1.32,0.735,DESC,22
1122,1.92,0.6,BOTT,22
1123,2.02,0.1,BOTT,22
1124,2.02,0,BOTT,22
1125,2.02,0,BOTT,22
1126,2.02,0,BOTT,22
1127,2.02,0,BOTT,22
1128,1.95,-0.07,BOTT,22
1129,2.02,0.07,BOTT,22
1130,2.12,0.1,BOTT,22
1131,2.05,-0.07,BOTT,22
1132,1.92,-0.13,BOTT,22
1133,1.92,0,BOTT,22
1134,2.02,0.1,BOTT,22
1135,2.02,0,BOTT,22
1136,2.02,0,BOTT,22
1137,2.05,0.03,BOTT,22
1138,2.02,-0.03,BOTT,22
1139,1.95,-0.07,BOTT,22
1140,2.07,0.12,BOTT,22
1141,2.07,0,BOTT,22
1142,2.02,-0.05,BOTT,22
1143,2.12,0.1,BOTT,22
1144,2.07,-0.05,BOTT,22
